path,bce,dice,total
../data/train/4643129664574703323,0.0002,0.099,0.0992
../data/train/5386447833647095179,0.0003,0.099,0.0993
../data/train/2598966158272425920,0.0007,0.099,0.0997
../data/train/6733907163647070244,0.0001,0.099,0.0991
../data/train/2997127845852899263,0.0,0.099,0.0991
../data/validation/1562881522787928319,0.0003,0.099,0.0994
../data/train/72894783356975938,0.0006,0.099,0.0996
../data/train/5747024955383921098,0.0003,0.099,0.0993
../data/train/3583425919843225092,0.0002,0.099,0.0992
../data/validation/2451683684010163216,0.0002,0.099,0.0992
../data/train/9103304508868546791,0.0,0.0991,0.0991
../data/train/3792616743302437772,0.0003,0.0991,0.0994
../data/train/2112884664786107593,0.0002,0.0991,0.0993
../data/train/8606878127218473332,0.0009,0.0991,0.0999
../data/train/7360828585567620978,0.0001,0.0991,0.0991
../data/train/4151573703390915260,0.0001,0.0991,0.0992
../data/train/6888017373996083539,0.0,0.0991,0.0991
../data/train/6724951087663906049,0.0,0.0991,0.0991
../data/train/7757263543012202646,0.0001,0.0991,0.0991
../data/validation/7560225076846116914,0.0003,0.0991,0.0994
../data/train/7616409760019588146,0.0002,0.0991,0.0994
../data/train/2402399912575598675,0.0,0.0991,0.0991
../data/train/8452587547451073596,0.0003,0.0991,0.0994
../data/train/4199737011978515294,0.0002,0.0991,0.0993
../data/train/1040554858290084174,0.0001,0.0991,0.0992
../data/train/542974788524732735,0.0,0.0991,0.0991
../data/train/3122826672243066938,0.0001,0.0991,0.0991
../data/train/5006339225287679,0.0004,0.0991,0.0995
../data/train/567014498055101270,0.0002,0.0991,0.0993
../data/train/8083329457101989693,0.0001,0.0991,0.0992
../data/train/8526266427846284169,0.0003,0.0991,0.0994
../data/train/6031223686766776438,0.0002,0.0991,0.0993
../data/train/4256418072858207022,0.0004,0.0991,0.0995
../data/train/3373902203411354555,0.0003,0.0991,0.0994
../data/train/4211570485021813821,0.0,0.0991,0.0991
../data/train/5899556803869511752,0.0003,0.0992,0.0995
../data/train/9126832203264505985,0.0001,0.0992,0.0993
../data/train/740772686253302059,0.0004,0.0992,0.0996
../data/train/1792185471112829169,0.0,0.0992,0.0993
../data/train/8249000443363682898,0.0,0.0992,0.0992
../data/train/3344732217019454999,0.0001,0.0992,0.0993
../data/train/2579385812837508355,0.0001,0.0992,0.0993
../data/train/9083673549117623690,0.0002,0.0992,0.0994
../data/train/8323652785593936760,0.0001,0.0992,0.0993
../data/train/1955673690361239253,0.0,0.0992,0.0992
../data/train/9017973052192572021,0.0002,0.0992,0.0995
../data/train/558927735179826864,0.0001,0.0992,0.0993
../data/train/781786271353102448,0.0001,0.0992,0.0993
../data/train/8312359996760395562,0.0,0.0992,0.0993
../data/train/2765957592342585170,0.0,0.0992,0.0992
../data/train/8302132909469728164,0.0002,0.0992,0.0994
../data/train/4427987790445701924,0.0002,0.0992,0.0994
../data/train/1294617789843738946,0.0009,0.0992,0.1001
../data/train/3790541526994734952,0.0001,0.0992,0.0992
../data/train/4056551642698199654,0.0004,0.0992,0.0996
../data/train/6465504518362018871,0.0002,0.0993,0.0995
../data/train/9036638128764264279,0.0002,0.0993,0.0995
../data/train/1310764900265706474,0.0004,0.0993,0.0997
../data/validation/5035904045876882318,0.0001,0.0993,0.0994
../data/train/1252539099206837899,0.0007,0.0993,0.1
../data/train/3788187480622764973,0.0002,0.0993,0.0995
../data/train/5444305487653393166,0.0003,0.0993,0.0996
../data/train/1198605747793116824,0.0005,0.0993,0.0997
../data/train/3298122915343402091,0.0,0.0993,0.0993
../data/train/8192327310688004229,0.0001,0.0993,0.0994
../data/train/8297993596675079372,0.0007,0.0993,0.1
../data/train/3048432836397469956,0.0002,0.0993,0.0995
../data/train/8847583874176775069,0.0001,0.0993,0.0994
../data/train/1911999311148391533,0.0001,0.0993,0.0994
../data/validation/3512949487103972811,0.0001,0.0993,0.0994
../data/train/2112014794923111080,0.0007,0.0993,0.1
../data/train/2526463175036139071,0.0004,0.0993,0.0997
../data/train/2141675354101785294,0.0001,0.0993,0.0993
../data/train/7364008635611514136,0.0001,0.0993,0.0994
../data/train/4432372089547032797,0.0,0.0993,0.0994
../data/train/3172893589757688472,0.0004,0.0993,0.0997
../data/train/5399515302848104578,0.0003,0.0993,0.0997
../data/train/8647660818664419944,0.0005,0.0993,0.0997
../data/train/3272352983210113266,0.0002,0.0993,0.0995
